date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:32	54867/54867	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:31:57%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/detail-sidebar.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/detail-sidebar.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:32	28234/28234	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:13%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/availability.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/availability.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:32	48121/48121	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:38:00%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/room-select.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/room-select.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:32	38586/38586	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:16%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/booking.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/booking.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:32	31940/31940	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:19%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/confirmation.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/confirmation.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:33	38639/38639	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:38:02%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/service.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/service.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:33	42338/42338	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:38:01%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/service-detail.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/service-detail.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:33	36912/36912	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:12%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/aboutus.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/aboutus.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:33	40655/40655	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:13%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/aboutus1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/aboutus1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:34	32172/32172	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:35%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/gallery.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/gallery.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
